date,rating,review
2021-11-14,1,rated 8 6 one bite dave portnoy fucking drugsthe server came table take order one plain pie start meatball must misheard said make sure food suck unpleasant experience exactly got cracker thin crust le 15 pizza sauce chore choking slice slice eventually gave quick little tip fix fucking door slam closed every time someone enters exit place nothing like dinner serenaded every minute loud fucking bang
2021-10-24,1,something definitely changed recipe used love pizza taste like using cheap ingredient changed cook something different shame good last month ordered bland burnt n't flavor think let barstool review go head started skimping quality sure wo n't returning price pizza nothing short excellent consistent every time
2021-10-14,1,went week ago visiting friend heard decent thing checked service terrible outside one table somehow took hour one pizza come water thing insane wo n't give regular tap buy bottled n't even tell big family kid aware pizza straight sucked bland tasted like pasta sauce also came fairly cold idk best thing confirmed barstool guy loser full crap
2021-10-03,1,live close wanting try spot long time local want give place good rating long story short deliver first service terrible asked glass water forced get bottled water pizza mediocre best certain bite totally bland could n't even finish pie el presidente let u
2021-09-30,5,absolutely loved pizza delivery couple time really enjoyed tried fresh first time couple week ago blown away thin crispy n't know got lucky nothing burnt naked meatball also reminded mom highly recommend
2021-09-21,5,best pizza around town worth food really good complaint shout angel already know u like pizza best pizza tri state
2021-09-10,1,seriously worst n't go saw barstool review hour waiting takeout order one pie unbelievable waited 30mins said would take week prior gave wrong order slow find much better pizza worth time
2021-09-04,1,tenth street pizza big round zero ate past friday night tell pizza horrible crispy crispy ordered pie extra cheese still little cheese soupy orange sauce pizza red tomato sauce would make sense orange sauce disgusting eat look none ingredient pizza tasted good awful awful
2021-08-30,5,absolutely amazing pizza little different typical jersey slice best way fresh crispy tiny pepperoni personal favorite restaurant large outdoor seating area corner street seating side inside slightly limited seating little upscale typical pizzeria one pie always enough two people left next day bolognese well prefer pizza dining spot town better bolognese restaurant byob soda water available purchase definitely must try hoboken
2021-08-21,3,4 fee credit card plastic cup wine option water buy poland spring took hour get pizza arrived luke warm pizza delicious unfortunately overshadowed feeling getting nickeled dimed
2021-07-23,1,excited try place due barstool review wow disappointed say atmosphere nice wait time nothing friday night nice charged water given coke instead fountain also completely charred pizza would better experience except complained pizza edible waitress kept telling u well done lol offered solution black bottom needle say wo n't going back reading review ton say thing
2021-07-19,3,came sit dinner pizza came luke warm temperature second slice cold expect eat pizza restaurant expect come hot especially menu describes well done pizza sitting kitchen brought although pizza good disappointed experience
