date,rating,review
2021-11-08,5,love surprised good one ordered late night delivery halloween weekend n't expecting much place came big time got requisite buffet fried delicacy boneless wing prosciutto rice ball mozz stick crispy delicious also got big margherita pizza perfectly cooked downright tasty leftover slice following morning definite yes order
2021-10-21,1,ordered home style chicken tender ordered many time pickup gave chicken cutlet cut piece went back ask two employee insistent got chicken tender n't enjoy laughed loyal customer know gave wrong thing never go back
2021-10-09,1,hate write negative review local spot food could n't described anything atrocious fully blame obviously tell place n't anything special right next door napoli favorite pizza order italian hoboken tell difference walk two spot friday night every table napoli filled table brick much nonetheless passed spot multiple time figured time give shot started free plate garlic knot honestly good pleasantly surprised looked forward appetizer prosciutto risotto ball say disappointing understatement first thing noticed middle cold real taste got overpowering hit salt good next got personal pie vodka sauce prosciutto arugula pie came super soggy ever walk spot take look someone pie look like came school cafeteria easily worst pizza hoboken normally put 4 slice could n't even finish personal pie came worst part meal chicken parm penne sauce definitely came reminded college pasta roommate would make dump tub ragu pot call day chicken definitely frozen could tell chewy dry tasted like came hospital cafeteria time service okay complaint food definitely close inedible could tldr go napoli next door instead save grief
2021-10-01,2,excited see extensive gluten free vegan menu restaurant first time ate advised dedicated gluten free fryer gluten free menu option thoroughly enjoyed food called takeout recently asked fryer safe told everything actually mixed together fryer someone celiac disease disappointed n't stressed first time unfortunately longer eat enjoy food celiacs beware
2021-09-22,4,4 gram morning breath munchies full roar lol wit carnivorous companion got ta find place gon na make everyone happy boom brick separate fully vegan menu man come correct smashed burger loaded everything growing boy need guac lettuce tomato onion delicious cap came back next day haha def recommend
2021-09-13,5,vegan cheesesteak weirdly amazing seriously recommend also huge plenty leftover good split vegan one best vegan meal ever super quick pickup well almost always free garlic knot dine
2021-09-03,5,best vegan restaurant friendly fast amazing taste waiter aaron amazing
2021-09-03,5,went brick last weekend friend although mile walk hoboken path station absolutely worth 5 star everything setting casual outdoor seating quaint lit area string light looked pretty inviting service fast polite helpful service server attentive able answer question regarding item menu food say everything delicious ordered cajun fry fried calamari fried asparagus stuffed portobello mushroom appetizer menu go highly recommend stuffed mushroom fried asparagus quite different delicious also ordered two medium pizza eggplant parmesan minus bacon sweet mango pizza sweet mango unusual pizza name suggests knew ordered course although flavor profile n't really blend well pizza certainly sweet mango eggplant parmesan pizza perfect enjoyed dinner immensely value money bill 80 pleasantly surprised definitely recommend place fyi byob store close like beer pizza
2021-08-05,5,nice place sit dinner great flavor great value service great would definitely recommend give try neighborhood
2021-08-04,5,really good pizza followed extensive menu appetizer selection amazing buffalo cauliflower bacon brussel sprout calamari perfect impressive would highly recommend two pizza garlic knot pizza everything bagel pizza definite faves huge definitely come to-go bag leftover
2021-08-01,5,pleasantly surprised visit restaurant love visiting new vegan spot definitely worth vegan mozzarella stick huge worth garlic knot delicious tomato sauce great flavor vegan greek salad refreshing delicious dressing ca n't wait try salad ended ordering large half vegan buffalo chicken half ca n't believe vegan pizza honest apps excitement pizza crust flavor could little balanced apps make went back tried personal vegan plain pizza much better sometimes simple better entire vegan menu ca n't wait come back try entree restaurant located beautiful street great date night free parking sunday variety gluten free option well oh best part dog friendly patio front second visit vegan caesar salad vegan beyond nacho vegan caprese salad personal plain vegan pizza phenomenal 10 10
2021-07-30,4,great go place full vegan menu impressive selection food especially loved appetizer fried asparagus garlic knot pasta sausage broccoli rabbe sauce thick lemony think would great olive oil service fast friendly overall definitely recommend
2021-07-29,5,food sooo good came family trouble deciding food appealing spaghetti meatball made prestige marinara sauce parmesan blended brilliantly together great classic meal
2021-07-29,5,absolutely delicious incredible vegan option asparagus chip vegan penne vegan garlic knot hit non vegan option also amazing biggest hit lobster crab ravioli penne vodka stuff rigatoni course classic spaghetti meatball service incredible amazing time truly recommend checking
2021-07-23,5,food great big portion vegan baked penne taste good large portion vegan mozzarella stick also good sausage pepper sandwich flavourful
2021-07-20,5,amazing pizza incredible service also skip cajun fry amazing get bruchestta pizza
2021-07-16,5,spot great place intimate italian-esque dining soho feel right middle hoboken great flavor quality ingredient load option tabitha joy interact 2nd time definitely back 10 10 recommend
2021-07-15,5,pizza absolutely amazing better pizza city service also amazing server attentive nice knowledgeable come great food
2021-07-14,5,food absolutely amazing service impeccable tabitha welcoming friendly garlic knot pizza incredible highly recommend
2021-07-09,5,place amzing unique menu item gon na love also whole separate vegan vegetarian menu well cool get garlic knot crusted pizza
2021-06-29,5,please absolutely delicious tempered expectation eating vegan menu n't need everything delicious vegan mozzarella stick vegan garlic knot husband vegan buffalo pizza menu beyond meatball spaghetti honestly would n't able distinguish regular slice vegan buffalo good slice gluten allergy dairy allergy prefer vegan diet definitely place try host also kind attentive much appreciated busy
2021-06-29,5,place amazing recently found developed dairy allergy missing pizza much definitely hit spot
2021-06-28,5,nice food lot vegan option variety dish personally loved vegan puff pastry delicious definitely back try option
2021-06-21,5,spot amazing feature indoor outdoor seating byob extensive vegan gluten free menu great serve several different type food
2021-06-11,5,spot straight deliciousness amazing service great atmosphere awesome item menu check great vegan non vegan alike
2021-06-02,5,first time im always looking great vegan pasta surprised see extensive vegan option whole separate menu friend ordered penne vodka chicken ordered vegan penne pasta vegan chicken yummy back try pizza next time
2021-05-30,5,great italian pizza spot large menu gluten-free vegan item delicious ca n't wait come back
2021-05-30,5,delicious vegan food wanted try something new found spot great vegan menu got pizza stuffed mushroom garlic knot buffalo flower glad made trek definitely come back
2021-04-22,5,awesome pizza great service server aron informative let u try vegan cesar delicious definitely back
2021-04-19,2,went pick order n't like one worker talked another one standing right made feel really uncomfortable though customer food also nothing special weird scary experience like felt harassed also told worker would outside waiting order one ever called walked back guessing appropriate pickup time point intrigued vegan menu likely never going back unless go someone else sketchy
2021-04-18,5,really great pizza spot hoboken two full menu one regular menu one 100 plant-based vegan menu friend enjoyed everything customer service amazing everyone friendly happy help really enjoyed buffalo chicken pizza vegan non-vegan definitely great place visit order hoboken highly recommend
2021-04-16,5,ordered two pizza cajun fry food great overall quality place friendly service pretension back
2021-04-08,5,excited try vegan menu kid tried regular menu food amazing kid bit picky loved vegan item phenomenal staff friendly everything delicious would recommend place back ordering delivery
2021-04-02,5,would n't known vegan n't come great food great service
2021-03-31,4,brick large vegan menu husband excited try vegan menu ordered mozzarella stick nacho garlic knot medium half buffalo chicken half traditional pizza service phenomenal waitress considerate constantly checked u food come large portion
2021-03-29,5,ummm hello vegan menu amazing n't philly cheesesteak years found vegan option
2021-03-20,4,vegan option really great enjoyed asparagus fry garlic knot penne brocolli rabe sausage sauteed white wine garlic would highly recommend brick fun vegan dining experience
2021-02-25,1,first time partner spent 42 pizza pie hald inedible fry mediocre greasy vegan mozz stick thing ate spit half margherita pie bad cheese hard fresh wanted go back try get money back partner sick felt wanted go home never
2021-02-17,1,food absolutely inedible flavorless eggplant parm buffalo cauliflower really weird metallic taste threw whole order away gross seriously buffalo cauliflower n't rocket science
2021-02-11,5,come stuff bolognese best pizza good take bunch friend could n't even wait eat
2021-01-11,5,love vegan pizza vegan mozz stick delivery always take little plan accordingly worth try
