date,rating,review
2021-11-07,4,first time say lovely brunch experience waiter amazing attentive informative atmosphere great establishment much larger seems front pitcher sangria good price pretty tasty brunch menu limited think gave okay amount option meal okay aguacate con pan french toast friend die good experience
2021-11-06,1,place used pre-pandemic food service used excellent suffered first require order everything upfront yes appetizer entree time initially explained covid-related issue term efficiency last year still required mystery half menu gone great appetizer initially loved menu pre-pandemic never made back menu post pandemic remaining one mediocre best clear however food bad horrible compared used top staff really make feel like want leave immediate instant finish meal paid check look felt way last year went fall 2020 first time since pandemic time pandemic used excuse got life much different november 2021 guess got used operating pandemic may cost effective event look like new cuban stay think quality old cuban new one definitely deserving one star
2021-10-30,5,wife came date night really impressed food really good vaca frita came rice black bean avocado wife hanger steak cooked perfection got medium shrimp switched creamed spinach asparagus plus got side maduros everything cooked flavored really good portion generous ambiance really cool walk seems really small walk pas kitchen open lot seating bathroom located two flight stair though aware drink coconut mojito delicious strong enough half pitcher red sangria n't favorite definitely sweet mostly taste like red wine splash fruit decide hoping however real winner customer service waiter super attentive noticed every detail best customer service
2021-10-27,1,worst attitude got ever friend may put wrong number reservation asked wan na find roll eye asked wait outside since may got full reservation table 3
2021-10-26,3,atmosphere requires 4 star spacious different level back room interesting cuban themed art wall food traditional cuban food come gourmet flair alien taste ruin others may like overall good place visit
2021-10-14,3,n't cuban least 8 year boyfriend decided dinner tuesday night bit skeptical going since yelp review feel bit bipolar n't reservation n't crowded outdoors several table open arrived turned sign door state outdoor diner must order one starter one entree per person planning regular dinner anyways however curious strictly enforce rule would think want business people might want meal drink especially night like last night crowed drink tried different cocktail washington ave grapefruit flavor refreshing liked lot bf vodka ponche reminded drink beach resort tasty sweet start shared camaron al ajillo garlic shrimp came 6 average sized shrimp two piece toast 15 fine nothing special maybe little skimpy entree el clasico pork tender could used little seasoning came gigantic side moro rice w bean entree decent size boyfriend ropa vieja came like stew rice meat tender liked sauce instead black bean substituted garlic spinach n't good also shared side sweet plantain addicting service generally good probably n't crowded sure rushing back time soon since good cuban latin place town byo moderately priced
2021-10-06,5,one favorite restaurant hoboken many time since moved area ordered item menu never disappoints outdoor seating also nice pic recent visit new friend town ordered paella wet version taste good big portion suggest order 2
2021-09-16,5,great service spot drink made perfectly server extremely attentive table food stunning soooo delicious everything came timely manner super fresh 10 10 definitely back complaint
2021-09-13,5,first visit back seated right away server awesome throughout meal drink ever empty fabulous dinner restaurant check box great food impeccable service nice atmosphere tres lech pure bliss vaca frita plato cooked perfectly exquisite service excellent obtrusive attentive water constantly refilled fact wait staff fold napkin guest head bathroom nice touch
2021-08-30,5,incredible meal churrasco red sangria churros desert de-lish
2021-08-21,5,nice place amazing steak tender juicy plenty share two ppl pork bun good nice place
2021-08-21,3,family birthday party 19 month food great enough 1700 dollar like buffet style left hungry shame
2021-08-20,5,food amazing service appetizer got chicken empanadas dessert chocolate stuffed churros everything good great atmosphere
