date,rating,review
2021-11-15,3,cost 11 95pros fry good con literally chicken finger bleu cheese frank red hot sauce surrounded wrap lettuce tomato negligible wrap falling apart could barely grip rating 5 1 10bonus ordered 10 95 philly cheesesteak spring roll fan
2021-11-12,5,ordered multiple time every single time order everything 100 correct sauce definitely n't go unnoticed
2021-11-07,2,one word disappointing headed partner jet fan follower badlands pod cast experience shepard knucklehead disaster arrived early hour half kick came work hoping eat walked many open table offering night open bar 45 00 partner n't drink n't option u hunted around finally found table reserved sign eventually kind poorly informed waitress arrived told u table also reserved unsure could order food bar spent 20 minute trying flag one bartender night open bar try get drink food designated area order bar absolute necessity open bar event ca n't comment food hour gave left service poor disorganized well planned event left reserved table wanted sit still empty get feel used hosting event hope usual level service never get second chance make first impression event opportunity introduce venue potential new customer sadly n't think making second trip
2021-10-30,1,writing review response disappointing delivery experience restaurant used enjoy hour placing order notified address delivery range order cancelled initially problematic since delivered address dozen time past year plus certainly ca n't expect delivery restaurant unwilling unable fulfill order also willing ignore incongruous reason given however would expect information relayed sooner hour eventually took told order cancelled food way handle whatever staffing issue may may resulted initial issue certainly lose regular
2021-10-13,1,wow place used reliable last two time ordered messed came 1 5 hour late tonight ordered cheeseburger fry cheesecake simple enough could mess half hour order get notification food way great get notification flavor cheesecake n't available cancel chance get another dessert canceled half hour later wondering food call restaurant one answer call answer hour pass give dinner guess even cheeseburger fry difficult establishment handle never ordering
2021-09-26,5,threw 30th birthday party shep 35 people could n't happier service received owner joe absolutely amazing work communicative took away stress come along throwing party present entire party despite clearly busy made time help anything needed throughout night price reasonable accepted venmo payment loved joe made party experience money appreciative back section light beautiful space serve assigned party also serving 2 party night extremely attentive anything needed got u within 30 second impressed service received bar packed due football game ufc fight n't slow amazing bartender made sure everyone got drink timely manner n't wait minute get drink entire night food great got tray slider mac n cheese fried zucchini stick fried pickle salad fry chicken finger every last bit food went speaks good hungry haha overall would definitely recommend hosting party shepherd knucklehead wo n't regret
2021-09-20,5,ordering shepherd knucklehead 4 year rarely disappointed meal friend decided watch sunday football hard time deciding beer order bar large number craft beer tap great place watch game nfl ticket show game even though busy bartender serving staff kept drink coming delivered food hot molly chase checked u regularly made u feel welcome recommend poutine taco steak quesadilla flavor complemented portion huge also like wing various flavor sauce pretzel slider previous visit also recommend overall great spot watch sport drink beer eat tasty food
2021-08-21,2,ordered delivery craving good burger disappointing burger dry brioche bun hard lettuce brown super soggy fry really dark make think oil old woke middle night extremely sick stomach issue day
2021-07-21,3,shepherd knucklehead kind spot local hoboken-savvy know right edge hoboken meet weehawken allll way town easy miss easy forget personally like kind place gon na bumping club music see smokeshows bringing grey goose sparkler like place see near washington street ambiance nice pretty spacious bar buffalo chicken spring roll may cure hiv
2021-07-01,5,bar great service clean trivia night super fun great place overall watch game amalia def coolest bartender ask
