date,rating,review
2021-11-05,5,best sicilian slice ive tried make sure get sauce top thank later
2021-06-09,5,love place great pizza sub chicken wing employee nice courteous definitely order one hoboken finest
2021-05-21,4,convenient location picking pizza go gotten pizza mainly past always consistent delicious
2020-12-05,2,delivery quick n't super impressed meal pizza tasted like chucky cheese pizza doughy thick pizza fry nothing special either tasted little soggy best hoboken
2020-06-16,5,never anything sicilian pie tbh nothing else shop look good arguing negative review pie incredible favorite pizzeria hoboken
2020-06-02,5,amazing restaurant wonderfully kind family owned establishment made experience 10 time better definitely returning
2020-03-14,5,place always save day great pizza even better staff torna especially great late night open super late weekend
2020-03-14,5,literally best pizza go every single weekend stay open late amazing way home bar
2020-01-24,4,update obsessed sicilian pizza update 4 star torn place questionable pizza best frill meatball parm place look like hole wall logically would think best pizza probably least favorite pizza joint hoboken tried twice desperately hungry regretted time recently someone told meatball parm best frill meatball parm town naturally try unlike pizza meatball parm point craving meatball parm look
2019-11-03,1,bought slice accidentally left vape counter paying came back get guy pretended never shitty remember left came back yet gone feel ripped employee wo n't return disappointing patron year settle benny tudino future
2019-10-21,4,make mistake legit local pizza soft textured chewy crust mild sweet sauce standard mozzarella good ratio make tasty pie modern gourmet type pizza old school working man style pie nothing pretty nothing fancy still get job done reasonably priced
2019-09-09,2,really disappointed place really wanted like place live nearby gave extra star people served u also looked like family owner nice everything ordered seemed burnt overcooked flavor n't quality n't overall confused fair price unbeatable roommate could n't finish food cause unsatisfied calamari rubbery dull frozen assume garlic knot ordered tasted like burnt bread personal pizza barely pineapple n't even interested try roommate sub n't look appetizing either pretty clear unfortunate def n't recommend place truly wanted like pro open late nightaffordablecons qualityfood
2019-08-29,1,really wanted like place sadly found food low quality also priced cheese extremely salty dough mushy sauce flavorless made mistake adding chicken pizza n't normal chicken breast would made chicken tender nasty cheap rib meat yuck sure hole wall stay business desire ever go back also undersized low quality pizza cost 18 n't even appropriately priced actually get definitely skip place go somewhere else
2019-06-18,4,tried many abundant pizza place hoboken n't even know torna existed saw slice app ordered pickup one thursday evening tried regular slice sicilian slice chicken tender baked ziti vodka sauce meatball parm platter regular slice nothing write home plenty better slice neighborhood n't go way sicilian slice might one best life light fluffy plenty ooey gooey cheese get topping put cheese interesting twist enjoyed skip dish especially chicken tender chicken tender supermarket freezer section taste better ordered minimum meet coupon wanted use supposed come french fry craving saw missing got home definitely come back sicilian slice nothing else
2019-03-02,4,one favorite place eat hoboken one oldest pizza place town family owned since 1968 one last old school pizzeria hoboken love thin crust pizza great staff opened late accept cash apple pay also deliver parking nearby best walk bike
2019-01-15,4,visited recently upgrade definitely paid solid pizza nice staff phenomenal choice late night
2018-10-27,2,one poorest quality pizza totally disappointed always knew google rating inflated
2018-07-26,5,almost every pizza place town one far exceeded expectation usually picky pizza especially dough tornas absolute favorite sticking place go
2018-04-19,5,without doubt best sicilian slice pizza ever 100 old school perfection took one bite literally went yelp write enjoy square slice
2018-04-06,5,best pizzeria town cuzin mike dom turn place already gem piece heaven try sausage sandwich work best also sicilian pepperoni number one town
