date,rating,review
2021-11-07,1,unable get order right arrive completely wrong tried contacting restaurant luck stay away
2021-10-31,1,absolutely love turning point food unfortunately service hoboken location really let hoboken food blogger love rave place afterwards case really boyfriend went breakfast morning food never came patient even mentioned really nicely server 3 time still never left kitchen understanding aware restuarants short staffed mention 3 time unacceptable ended asking please taken bill 30 minute sitting hoping would come boyfriend ended eating leftover left sure would return
2021-10-30,2,honestly highly disappointed food ordered strawberry cheesecake french toast stated came strawberry reduction however received came slice strawberry light drizzle cream cheese frosting strawberry reduction asked waiter stated strawberry component sliced strawberry ask strawberry compote reduction glaze said syrup brought u basic skillet exactly sound like basic nothing special side bacon charge 4 4 piece two star really good strong coffee nj beast blend something like french press like 8 got 4 cup coffee overall really nothing special menu everything sound really good time deliver come really short
2021-10-17,3,one best thing turning point pretty view hudson ordered frozen hot chocolate marshmallow syrup graham cracker dust tasty smores flavor pronounced also ordered goat cheese omelet flavor underwhelming enjoy texture english muffin came tasty friend ordered vegan pancake enjoyed said nothing special overall food okay nothing special area brunch may go back would go way eat turning point
2021-09-29,3,slow service took 15 minute realize waiting place order went 8 n't busy utensil clean view nice
2021-09-26,3,love place unfortunately time management great told specific time come back waiting almost hour told still 15 party ahead u disappointing know control much time people spend eating courteous customer waiting definitely place go strict time schedule
2021-09-26,2,chose turning point hoboken great experience another state knowing parking hoboken chose pickup option difficulty adjusting order uber eats app called took 3 call get someone however individual ver courteous seems location primarily local parking practically nonexistent even late tuesday morning signage made pick slightly confusing entered restaurant told walk side pickup order waiting pick area n't anyone side restaurant walked noticed receipt stapled bag qr code scan pay began process noticed young lady come register watching greeting received pay said begun process pay phone politely stared received confirmation end made admittedly uncomfortable woman entered behind simply grabbed bag exited aside awkward introduction food received correct ok specifically asked order grit saying grit may add order confirming appreciate disappointment opened bag noticed received side turkey lunch meat grit lasting impression walk beach juice surprisingly sweet delicious wrapped perfectly takeout order
2021-09-11,5,awesome place brunch lazy saturday first time shashuka filling purple rain drink must tart smooth place dog friendly waitress gave dog water offered whipped cream thing wait long want get outdoor seating
2021-09-06,5,morning walk decided treat breakfast turning point walked 7:40 without realizing open 8am staff seated right away without hesitation food coffee excellent service outstanding could give 10 star jennifer would extremely knowledgeable compassionate attentive team player colleague pay close attention detail definitely go extra mile everything
2021-09-02,3,nice brunch vibe multiple time always order basic skillet english muffin belgian waffle time tried avocado toast good friend chicken pesto panini sandwich cooky cream cold brew highly recommend milkshake strawberry loved core amazing view skyline cherry top
