date,rating,review
2021-11-08,3,went brunch bachelorette party fun experience mimosa sangria extra large mason jar bloody mary one best ever appetizer kale caesar disco fry amazing probably highlight meal entree fried chicken blt fry really enjoyed unfortunately two people group egg came extremely cold along one group member n't receive meal first flag server realized kitchen forgot make server n't attentive got little upset asked split check three way outside hiccup really enjoyed meal brunch experience
2021-11-06,1,come brunch egg undercooked salad rotten piece coffee also 1 10 avoid avoid avoid
2021-10-27,5,amazing view water got lucky parked front street garage around corner view water overlooking hudson spectacular kinda like brewery casual upscale brewery low light music delicious good hearty portion great date nightgirlfriends gathering business colleague meeting
2021-10-17,3,stopped drink saturday afternoon good variety beer tap bottle can disappointed slow service bar high-top table area near bar moved table outside grab small bite service much better
2021-08-15,3,party 8 didnt wait long sitting outside dining hot day sat inside restaurant spacious recommend reservation hungry ordered drink food right away drink came everyone liked drink minus two friend ordered johnny walker rock drink come yellowish asked waitress said made correctly tasted weird finished ordered another round straight came brown like color whiskey suppose strange ordered appetizer entree entree came appetizer never looking forward trying mac cheese ball waitress forgot put order full n't meant friend spilt chicken blt sandwich hall burger good needed seasoning chicken sandwich huge fry really good left went lady room faucet handle broken except one sink strange
2021-07-13,3,time already normally experience good unfortunately saturday experience great ordered salmon platter share husband two kid almost done found piece plastic cream cheese n't take picture immediately called server let know looked like shock apologized went get hostess day sure manager hostess took plate kitchen couple minute later brought plate back plastic removed said wanted show chef obviously plastic cream cheese container wanted show offered give u bread could completely different approach situation tried accommodating
2021-07-03,1,literally worst martini old fashion ever friend literally left drink untouched bad called restaurant flag one ever called back save money avoid going
2021-06-12,2,food ok service awful hostess seemed like bothered find u table head seemed somewhere else definitely work waiter point basically poor customer service forgot drink dropped bill basically tossed table cute restaurant nice location customer service poor
2021-06-08,3,night friend beer nice idea desent beer list waiter recommended beer based preference straight point burger fine suprised overall picture place quite plesant noisy good somewhat original menu different option moreover prepared relatevely quickly expert lover beer mayby without friend place would seem le interesting
2021-06-05,3,really enjoyed meal union hall mine beet berry super fresh flavorful refreshing taylor ham egg cheese flatbread killer hollandaise sauce nicely savory overall sprung giant mason jar drink 20 promised five drink worth one jar little put see mimosa jar half full add ice space use different jar felt like light alcohol well sure really agree assessment five drink inside probably best still waiter francis bit short u said nothing dropped check table picked also n't fan 90-minute time limit per table closer two hour brunch saturday n't seem like enforcing strictly result made u feel needlessly rushed especially since huge drink took twenty minute come overall good experience great
