date,rating,review
2021-10-15,2,ordered thing recent visit everything oilier saltier best still probably mushroom pappardelle although really rich dish probably something could eat entirely one dining sunday around 1 waiter looked like want one smile barely made eye contact u many new italian restaurant always popping hoboken n't think back one
2021-10-12,5,dinner last saturday girlfriend thankfully reservation place really filled byo n't forget bring like drink ordering food came quickly pleased say feel like rushed meal rushed door split arugula salad fiamma pizza spicy sausage tomato mozz vegetariana pizza tomato mozz eggplant zucchini spinach ricotta ravioli strongly recommend saving room dessert nutella calzone warm gooey delicious wo n't regret
2021-09-19,5,native italian girl without arrogant know food know talking love zeroottouno great place located main street one best pizza ever ate america whenever feel homesick come eat meat cheese plate delicious fresh tried pasta mushroom truffle fantastic mostly eat pizza great owner authentic southern italian met personally waiter usually friendly nice spanish guy highly recommend restaurant grazie zeroottouno
2021-08-29,5,wow wow wow sunday al fresco food bread pizza app amazing flavor quality bottom line n't read delivery review ca n't deliver greatness kitchen table kitchen driver car apartment first get calamari shrimp dish pepper even fried lemon presentation flavor excellent one best area pizza fresh quality ingredient real napoli experience equal italy fusilli shrimp w zucchini dish perfect texture sauce chef nailed everything would definitely return byob wine store next block easy service joseph efficient quite amiable
2021-08-22,5,literally everything amazing first got pretty nice started rain shortly hostess moved party 6 inside deliciousness began mussel grilled octopus perfection 100 percent going back
2021-08-21,5,delicious food outstanding service looking place take son nephew dinner wanted reasonably priced byob option dine outside son suggested zero otto uno based past experience concerned read yelp review made reservation anyway son lived dined hoboken year recommendation started burrata prosciutto special incredible pizza delicious shortrib pasta dish told caesar salad salmon delighted see wild salmon menu usually farmed non starter server fantastic personable engaging fun top every need go
2021-07-26,2,fiance stopped dinner tonight disappointed meal server friendly food extremely lackluster started mussel white wine sauce mussel tender broth lacked flavor ordered margherita pizza sauce tasted bitter basil pizza ordered decent certainly worth price overall would return could ordered better pizza one pizzeria town without hassle full sit dinner waiting long pizza come n't full house
2021-07-26,2,never restaurant disparity quality food service experience chose restaurant empty literally customer pre-pandemic would never bothered figured long food least decent would prefer comfort maskless patron flavor quality perspective everything ordered average good book count win however multiple issue made one done choice u starter staff n't seem experience sort understandable given work situation played past year somewhat sympathetic however ask menu question n't know n't suitable response customer n't request waiter go ask kitchen chef happened multiple occasion frankly confidence getting accurate information really use egg fresh pasta maybe never seen standard restaurant never asked reasonably nice restaurant hold used silverware take plate away reuse next course n't really care pretty ridiculous holding fork knife smear arugula cheese several min next course brought seemed n't either provide new one small plate napkin rest n't really care n't mind seemed like something expect cheaper restaurant something tying pas nicer worst problem though garbage sure sanitation code work never seen staff wheel garbage main restaurant area customer impression side rear entrance literally smelled like diaper rotten cabbage eating food actually cut dinner short left earlier bad anyway food good maybe give shot go definitely worth eating
2021-06-29,4,read many awful review service low expectation funny thing service started great went crap team clearly pre occupied easily distracted bus boy worked butt really appreciate help entire evening waiter much anyways going judge service moving food started sparkling water tried fried seafood fried calamari shrimp good perfect share tried spaghetti carbonara friend chicken scarpariello love bread start also delicious give eat would like try pizza salad next time
2021-06-29,3,came option around n't tried order pasta bolognese extremely creamy please n't put heavy cream bolognese pizza decent service okay price high quality food overall coming back nothing memorable
2021-06-25,5,amazing meal fresh salmon amazing spinach ravioli nice ambiance sat outside
2021-06-20,2,went first time weekend recommendation friend food good could n't get past horrible service 430 reservation 6 early father day dinner saturday first customer hour disappointed server inattentive unwelcoming make almost uncomfortable even ask water could understand busy customer unacceptable lived hoboken year never poor service restaurant
2021-06-14,3,ordered squid ink linguini delivery pretty good flavor generous amount shrimp tomato sauce flavored strongly garlic overall say sauce excellent pasta slightly overdone could bit squid ink flavor 3 5 star
2021-05-09,1,confirmed 6:00pm reservation tonight celebrate mother day fiance sister arrived 6:00pm server said n't aware reservation waited allowed similarly sized party white seated u asked see manager server refused told u owner manager never experienced deplorable service discrimination decided patronize racist establishment also large group guest wearing mask congregated outside inside cramped space covid safe setting
2021-04-18,5,went dinner weekend date night staff really accommodating everything booked reservation open table byob everything ordered delicious coming back
2021-04-17,5,great food great service sonny super accommodating easily best neapolitan pizza hoboken likely hudson county rest italian dish superb well n't miss ordering expresso dessert enjoying byob
