id,Resturant Name,Review
90,10Th And Willow Bar And Grill Hoboken,little pricy good service good deal happy hour liked dj food pretty good good spot
121,10Th And Willow Bar And Grill Hoboken,food good cool atmosphere owner friendly made sure good seat drink bit priced one favorite hoboken haunt
168,10Th And Willow Bar And Grill Hoboken,ordered spinach dip app nothing great stood main girlfriend salad goat cheese shrimp salad fresh small size fish entree good priced overall good food good service slightly priced
327,Acai Ya Later Hoboken,good bowl good service good price plus never stingy nutella check yelp discount
631,Ainsworth Hoboken Hoboken,good food good view n't expect get drink bar staffed trained
739,Ainsworth Hoboken Hoboken,great food fish taco great always different burger good mac cheese burger classic good juicy burrata burger also one favorite cocktail also really good
816,Ainsworth Hoboken Hoboken,food typically pretty good really good burger couple sa switch service always bad get seated forgotten 20 minute lucky see server get food could get oversight fixed would good worth
1027,Ali Baba Hoboken 2,really good value money authentic mediterranean food good service great combo platter group
1045,Ali Baba Hoboken 2,good food good value nice people delicious hummus also food always ready crazy fast whenever order
1112,Ali Baba Hoboken 2,good food veggie combo really good gave great overall taste flavor must try
1177,Ali Baba Hoboken 2,ordered take place last night food overall good hummus soup really good falafel ball seemed ok salad grape leaf also good one thing could serve pita warm oppose giving straight refrigerator
1395,Amandas Restaurant Hoboken 2,good food l good atmosphere feel reasonable price really lot fun able drink like crazy ability good wine food truly cook artist 3 5 star 4 star atmosphere higher standard 5 star yelp
1528,Amandas Restaurant Hoboken 2,delicious pricey always good meal good service prepare wallet shock
1903,Anthony Davids Hoboken,pretty space w outdoor indoor seating food good nothing really rave truffle barrata egg benefit good crab benedict fishy coffee oj good really nothing special cute neighborhood spot
2352,Antique Bar And Bakery Hoboken 2,hidden gem hoboken feel good music along feel good food mussel must
2353,Antique Bar And Bakery Hoboken 2,avoid place cost poor service overpriced extremely mediocre food ordered 100 steak extremely small mostly fat good cut girlfriend foodie value good meal good experience waitress completely rude unprofessional
2493,Antique Bar And Bakery Hoboken 2,drink pretty good good ambiance small group date tried 2 dish dinner time felt like got way small portion price somewhat overpriced overall good still tight space large group good service
2842,Arthurs Steaks Hoboken,usually place go unsure want go dinner large group friend several time also boyfriend awesome burger pitcher sangria nothing fancy good place good food usually busy never problem getting always seem make room good place recommend
2871,Arthurs Steaks Hoboken,vacillated three four star round one came monday night got burger burger night burger tasty well prepared french fry n't eaten unusually good ate also split tomato avocado salad really really good food solidly good service friendly heard others steak good n't try ca n't really speak good variety burger salad entree menu something please everyone
2887,Arthurs Steaks Hoboken,giving arthur 5 star burger flavor incredible fry good service good food came quickly pleased
2968,Arthurs Steaks Hoboken,came last night seated quickly food always good fair price good service need app main course enough
2984,Arthurs Steaks Hoboken,pretty good food local old school steakhouse get good meal large brew comfort sweat dressing necessary steak good burger great potato pretty tasty well glad got try place heading town
3034,Arthurs Steaks Hoboken,good food price french onion soup great petite filet w shrimp really good got sauteed mushroom pretty good overall great deal good food
3065,Arthurs Steaks Hoboken,went went arthur really knowing expect heard good bad eating last night tell food good large portion basically bar sit small table large sometimes loud atmosphere service mediocre overall food good ultimately give 4 start
3104,Augustinos Hoboken,good good think good gon na disappointed dish order long know
3210,Augustinos Hoboken,traditional italian good amazingly friendly staff great food make reservation well advance hard get table good reason
3557,Ayame Hibachi And Sushi Hoboken,good night good food byob also jimmy hibachi grill man hilarious
3794,Bangkok City Thai Restaurant Hoboken,n't know bad review customer service good efficient food n't take long food portion good food tasty wo n't give 5 star expensive t-thai right next door would differently give another shot green curry nice kick love spicy food try like
3882,Barbès Restaurant Hoboken,place incredible live music good vibe infectious drink great food even better everything authentic yummy bad dish menu great neighborhood spot bring friend family good food good time
4046,Barbès Restaurant Hoboken,good food excellent service ate vegetarian option plenty enjoyed everything good drink also
4066,Barbès Restaurant Hoboken,food pretty decent lam sausage great nice atmosphere good drink chicken good bit dry good portion size bit pricey good drink overall pretty good might hard compete restaurant area think taste food improved
4274,Bareburger Hoboken Hoboken,good burger spot overall friendly staff good food good ambiance quick easy negative expensive portion small price bison beef chicken turkey tasty topping great paying 0 55 spicy mayo seems parking need street course
4737,Belo Bar Hoboken,drink good particularly strong gintrification tasty sweet service pretty slow ordered 3 appetizer split 1 oyster good pretty large oyster 2 burrata prosciutto good size tasty burrata good proscuitto 3 tuna salmon tartare bad fish taste fresh fishy avocado good fish ruined dish buggest takeaway come drink food
5189,Benny Tudinos Pizzeria Hoboken,wow big delicious thats said really good go dont stupid give shot really good
